threshold,precision,recall,f1,accuracy
0.0,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.05555555555555555,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.1111111111111111,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.16666666666666666,0.3466955579631636,1.0,0.5148833467417538,0.3523093447905478
0.2222222222222222,0.35193621867881547,0.965625,0.5158597662771285,0.3770139634801289
0.2777777777777778,0.37229987293519695,0.915625,0.5293586269196026,0.44038668098818473
0.3333333333333333,0.3988522238163558,0.86875,0.5467059980334317,0.5048335123523093
0.38888888888888884,0.436077057793345,0.778125,0.5589225589225589,0.5778732545649838
0.4444444444444444,0.47276688453159044,0.678125,0.5571245186136072,0.6294307196562836
0.5,0.5120643431635389,0.596875,0.5512265512265513,0.6659505907626209
0.5555555555555556,0.5789473684210527,0.515625,0.5454545454545454,0.7046186895810956
0.611111111111111,0.6199095022624435,0.428125,0.5064695009242144,0.7132116004296455
0.6666666666666666,0.6604938271604939,0.334375,0.4439834024896266,0.7121374865735768
0.7222222222222222,0.7281553398058253,0.234375,0.3546099290780142,0.706766917293233
0.7777777777777777,0.6666666666666666,0.125,0.21052631578947367,0.677765843179377
0.8333333333333333,0.5925925925925926,0.05,0.09221902017291067,0.6616541353383458
0.8888888888888888,0.25,0.003125,0.00617283950617284,0.6541353383458647
0.9444444444444444,0.0,0.0,0.0,0.6562835660580022
1.0,0.0,0.0,0.0,0.6562835660580022
