threshold,precision,recall,f1,accuracy
0.0,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.05555555555555555,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.1111111111111111,0.3471164309031556,0.996875,0.5149313962873284,0.3544575725026853
0.16666666666666666,0.36211031175059955,0.94375,0.5233968804159446,0.4092373791621912
0.2222222222222222,0.39502762430939226,0.89375,0.5478927203065135,0.49301825993555315
0.2777777777777778,0.45217391304347826,0.8125,0.5810055865921787,0.5972073039742213
0.3333333333333333,0.5047619047619047,0.6625,0.5729729729729729,0.6605800214822771
0.38888888888888884,0.5704918032786885,0.54375,0.5568,0.7024704618689581
0.4444444444444444,0.6306306306306306,0.4375,0.5166051660516605,0.7185821697099892
0.5,0.7177914110429447,0.365625,0.4844720496894409,0.7325456498388829
0.5555555555555556,0.75,0.3,0.4285714285714285,0.7250268528464017
0.611111111111111,0.8,0.275,0.40930232558139534,0.7271750805585392
0.6666666666666666,0.8539325842696629,0.2375,0.37163814180929094,0.723952738990333
0.7222222222222222,0.8589743589743589,0.209375,0.33668341708542715,0.7164339419978518
0.7777777777777777,0.875,0.109375,0.19444444444444445,0.6885069817400644
0.8333333333333333,0.9375,0.046875,0.08928571428571429,0.6713211600429646
0.8888888888888888,1.0,0.003125,0.006230529595015576,0.6573576799140709
0.9444444444444444,0.0,0.0,0.0,0.6562835660580022
1.0,0.0,0.0,0.0,0.6562835660580022
