threshold,precision,recall,f1,accuracy
0.0,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.05555555555555555,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.1111111111111111,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.16666666666666666,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.2222222222222222,0.37220259128386335,0.9875,0.5406330196749358,0.42320085929108486
0.2777777777777778,0.4596375617792422,0.871875,0.6019417475728155,0.6036519871106337
0.3333333333333333,0.6410256410256411,0.78125,0.7042253521126761,0.7744360902255639
0.38888888888888884,0.7053571428571429,0.740625,0.7225609756097562,0.8045112781954887
0.4444444444444444,0.8109090909090909,0.696875,0.7495798319327731,0.8399570354457573
0.5,0.8395061728395061,0.6375,0.7246891651865008,0.8335123523093448
0.5555555555555556,0.8923076923076924,0.54375,0.6757281553398058,0.8206229860365198
0.611111111111111,0.9209039548022598,0.509375,0.6559356136820926,0.8163265306122449
0.6666666666666666,0.9226190476190477,0.484375,0.6352459016393442,0.8088077336197637
0.7222222222222222,0.9645390070921985,0.425,0.5900216919739697,0.7969924812030075
0.7777777777777777,1.0,0.36875,0.5388127853881279,0.7830290010741139
0.8333333333333333,0.0,0.0,0.0,0.6562835660580022
0.8888888888888888,0.0,0.0,0.0,0.6562835660580022
0.9444444444444444,0.0,0.0,0.0,0.6562835660580022
1.0,0.0,0.0,0.0,0.6562835660580022
