threshold,precision,recall,f1,accuracy
0.0,0.34371643394199786,1.0,0.5115907274180655,0.34371643394199786
0.05555555555555555,0.35917901938426455,0.984375,0.5263157894736842,0.39097744360902253
0.1111111111111111,0.37761377613776137,0.959375,0.5419240953221536,0.44253490870032225
0.16666666666666666,0.4277016742770167,0.878125,0.5752302968270214,0.5542427497314716
0.2222222222222222,0.4711033274956217,0.840625,0.6038159371492704,0.6208378088077336
0.2777777777777778,0.5359477124183006,0.76875,0.631578947368421,0.6917293233082706
0.3333333333333333,0.5762273901808785,0.696875,0.630834512022631,0.719656283566058
0.38888888888888884,0.6484641638225256,0.59375,0.6199021207177814,0.7497314715359829
0.4444444444444444,0.7111111111111111,0.5,0.5871559633027522,0.7583243823845328
0.5,0.8026315789473685,0.38125,0.5169491525423728,0.7551020408163265
0.5555555555555556,0.8153846153846154,0.33125,0.47111111111111104,0.7443609022556391
0.611111111111111,0.8921568627450981,0.284375,0.4312796208530806,0.7422126745435016
0.6666666666666666,0.9166666666666666,0.275,0.4230769230769231,0.7422126745435016
0.7222222222222222,0.9130434782608695,0.2625,0.4077669902912621,0.7379162191192267
0.7777777777777777,0.9213483146067416,0.25625,0.4009779951100244,0.7368421052631579
0.8333333333333333,0.9523809523809523,0.25,0.39603960396039606,0.7379162191192267
0.8888888888888888,0.95,0.2375,0.38,0.7336197636949516
0.9444444444444444,0.9841269841269841,0.19375,0.3237597911227154,0.7218045112781954
1.0,1.0,0.1375,0.2417582417582418,0.7035445757250268
